Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"CATERING INTL SCES";FR0000064446;ALCIS;"Euronext Growth Paris";EUR;9.42;9.42;9.40;9.42;"14/02/2024 16:52";CET;706;6638.18;9.42;14/02/2024
"CATERPILLAR INC";US1491231015;CATR;"Euronext Paris";EUR;293.00;293.00;293.00;293.00;"14/02/2024 14:31";CET;2;586.00;293.00;14/02/2024
CBI;FR0014007LW0;ALCBI;"Euronext Growth Paris";EUR;0.396;0.396;0.373;0.3895;"14/02/2024 16:39";CET;6250;2378.5325;0.3895;14/02/2024
"CBI BSA";FR001400D0X2;CBIBS;"Euronext Growth Paris";EUR;0.002;0.002;0.002;0.002;"09/02/2024 09:31";CET;246;0.49;0.002;14/02/2024
"CBO TERRITORIA";FR0010193979;CBOT;"Euronext Paris";EUR;3.63;3.63;3.57;3.58;"14/02/2024 17:36";CET;24307;87461.43;3.58;14/02/2024
CEGEDIM;FR0000053506;CGM;"Euronext Paris";EUR;16.70;16.70;16.56;16.60;"14/02/2024 17:35";CET;306;5073.34;16.60;14/02/2024
CELLECTIS;FR0010425595;ALCLS;"Euronext Growth Paris";EUR;2.526;2.66;2.526;2.582;"14/02/2024 17:35";CET;113480;292146.484;2.582;14/02/2024
"CELYAD ONCOLOGY";BE0974260896;CYAD;"Euronext Brussels, Paris";EUR;0.36;0.376;0.36;0.369;"14/02/2024 17:08";CET;16021;5926.017;0.369;14/02/2024
"CERINNOV GROUP";FR0013178712;ALPCV;"Euronext Growth Paris";EUR;2.73;2.78;2.68;2.69;"14/02/2024 17:01";CET;6749;18341.29;2.69;14/02/2024
CFI;FR0000037475;CFI;"Euronext Paris";EUR;0.54;0.54;0.54;0.54;"14/02/2024 11:30";CET;1893;1022.22;0.54;14/02/2024
"CFM INDOSUEZWEALTH";MC0010000826;MLCFM;"Euronext Access Paris";EUR;970.00;970.00;970.00;970.00;"14/02/2024 16:30";CET;20;19400.00;970.00;14/02/2024
CGG;FR0013181864;CGG;"Euronext Paris";EUR;0.3856;0.392;0.3787;0.3907;"14/02/2024 17:35";CET;7682410;2970194.4338;0.3907;14/02/2024
"CH.FER DEPARTEMENT";FR0000037871;MLCFD;"Euronext Access Paris";EUR;735.00;735.00;735.00;735.00;"30/01/2024 11:30";CET;1;735.00;735.00;14/02/2024
"CH.FER VAR GARD N.";FR0000051567;MLCVG;"Euronext Access Paris";EUR;6350.00;6350.00;6350.00;6350.00;"30/11/2023 11:30";CET;1;6350.00;6350.00;14/02/2024
CHARGEURS;FR0000130692;CRI;"Euronext Paris";EUR;11.90;11.94;11.90;11.90;"14/02/2024 17:39";CET;63361;754128.84;11.90;14/02/2024
"CHARWOOD ENERGY";FR001400AJ60;ALCWE;"Euronext Growth Paris";EUR;3.90;3.90;3.80;3.80;"14/02/2024 12:27";CET;16;60.90;3.80;14/02/2024
CHAUSSERIA;FR0000060907;CHSR;"Euronext Paris";EUR;8.00;8.00;8.00;8.00;"08/01/2024 11:30";CET;55;440.00;8.00;14/02/2024
"CHEOPS TECHNOLOGY";FR0010447086;MLCHE;"Euronext Access Paris";EUR;63.50;63.50;63.50;63.50;"05/02/2024 11:30";CET;2;127.00;63.50;14/02/2024
"CHRISTIAN DIOR";FR0000130403;CDI;"Euronext Paris";EUR;766.00;772.00;762.50;770.00;"14/02/2024 17:35";CET;2434;1871544.50;770.00;14/02/2024
"CIBOX INTER A CTIV";FR0000054322;ALCBX;"Euronext Growth Paris";EUR;0.0167;0.0167;0.0157;0.0158;"14/02/2024 17:35";CET;166972;2654.1317;0.0158;14/02/2024
"CIE DU MONT BLANC";FR0000060428;MLCMB;"Euronext Access Paris";EUR;127.00;127.00;127.00;127.00;"14/02/2024 16:58";CET;25;3175.00;127.00;14/02/2024
CLARANOVA;FR0013426004;CLA;"Euronext Paris";EUR;2.89;2.89;2.725;2.80;"14/02/2024 17:35";CET;291345;814140.34;2.80;14/02/2024
CLARIANE;FR0010386334;CLARI;"Euronext Paris";EUR;1.81;1.886;1.751;1.876;"14/02/2024 17:35";CET;683393;1234940.686;1.876;14/02/2024
